24	223838.000000	1	21
22	210432.000000	2	18
22	154456.000000	3	14
24	299339.000000	4	15
24	336221.000000	5	18
24	287094.000000	6	18
24	466368.000000	7	22
24	493671.000000	8	22
24	311839.000000	9	22
24	346254.000000	10	19
24	444387.000000	11	17
24	317774.000000	12	14
24	211058.000000	13	16
24	478457.000000	14	20
24	506918.000000	15	22
24	238001.000000	16	18
24	318269.000000	17	18
24	350195.000000	18	21
24	277187.000000	19	18
24	230274.000000	20	16
24	186602.000000	21	15
24	294076.000000	22	15
15	220802.000000	23	11
15	150012.000000	24	11
27	343005.000000	1	23
25	180777.000000	2	17
27	220474.000000	3	19
27	392925.000000	4	20
27	350518.000000	5	19
27	384768.000000	6	21
27	386826.000000	7	26
27	318571.000000	8	23
27	412990.000000	9	21
27	439553.000000	10	21
10	66370.000000	11	9
27	268005.000000	12	20
9	108218.000000	13	9
27	386802.000000	14	19
27	316261.000000	15	22
27	497193.000000	16	20
27	348974.000000	17	19
27	181264.000000	18	18
27	418809.000000	19	20
21	143832.000000	1	12
21	212347.000000	2	18
21	315204.000000	3	18
28	263136.000000	4	20
21	140156.000000	5	13
21	372361.000000	6	15
21	307713.000000	7	18
21	245293.000000	8	18
21	290404.000000	9	15
20	293969.000000	10	16
14	170187.000000	11	11
21	226097.000000	12	17
21	318239.000000	13	17
28	556129.000000	14	23
21	312127.000000	15	16
14	144603.000000	16	13
14	192914.000000	17	13
21	316377.000000	18	17
28	367573.000000	19	22
21	207428.000000	20	15
21	306707.000000	21	15
21	327227.000000	22	18
21	168448.000000	23	13
21	193776.000000	24	13
16	212268.000000	25	16
9	148722.000000	26	9
21	248282.000000	27	18
21	230497.000000	28	17
21	177691.000000	29	14
21	175481.000000	30	14
21	310255.000000	31	21
21	188440.000000	1	18
21	176164.000000	2	18
21	175670.000000	3	18
21	106891.000000	4	12
21	316957.000000	5	15
21	317346.000000	6	18
21	275483.000000	7	15
21	143214.000000	8	14
21	366648.000000	9	20
21	205545.000000	10	12
21	350267.000000	11	20
28	347257.000000	12	16
21	360747.000000	13	18
21	409300.000000	14	18
21	292025.000000	15	14
21	300063.000000	16	14
21	190007.000000	17	14
21	318244.000000	18	16
20	282991.000000	19	15
21	176236.000000	20	14
21	306703.000000	21	15
21	332768.000000	22	16
21	233701.000000	23	13
21	217300.000000	24	13
21	152666.000000	25	13
21	241862.000000	26	17
28	229677.000000	27	16
21	176910.000000	28	12
21	262605.000000	29	12
21	251026.000000	30	17
21	274984.000000	31	18
21	240044.000000	32	16
28	272263.000000	33	20
21	237634.000000	34	18
21	244011.000000	35	18
